UserQuery,RequirementIndex
Create and manage user accounts,"Develop feature in system to create, update and review user/ system accounts"
Update user profile and account details,"Develop feature in system to create, update and review user/ system accounts"
Review and modify system user accounts,"Develop feature in system to create, update and review user/ system accounts"
Remove inactive user accounts,Develop feature in system to remove user accounts that are no longer needed
Delete user accounts that are no longer required,Develop feature in system to remove user accounts that are no longer needed
Automatically remove unused accounts,Develop feature in system to remove user accounts that are no longer needed
Store and manage user credentials securely,Develop feature in system to maintain identity and credentials for users
Maintain user identity and login credentials,Develop feature in system to maintain identity and credentials for users
Ensure secure credential management,Develop feature in system to maintain identity and credentials for users
Lock user account after failed login attempts,Develop feature in system to monitor and lock/disable account after predefined unsuccessful login attempts
Disable accounts after multiple failed login attempts,Develop feature in system to monitor and lock/disable account after predefined unsuccessful login attempts
Prevent brute-force attacks with account lockout,Develop feature in system to monitor and lock/disable account after predefined unsuccessful login attempts
Allow admin to lock and unlock mobile devices,Develop feature to lock/unlock mobile device by an administrator
Enable remote lock/unlock for mobile devices,Develop feature to lock/unlock mobile device by an administrator
Provide admin control for mobile device security,Develop feature to lock/unlock mobile device by an administrator
Track user login activity,"Develop feature in system to identify unique user, track and manage identifiers assigned to users"
Assign and manage unique user identifiers,"Develop feature in system to identify unique user, track and manage identifiers assigned to users"
Ensure each user has a unique ID,"Develop feature in system to identify unique user, track and manage identifiers assigned to users"
Authorize user access to physical locations,Develop feature in system to authorize and grant physical access for users
Grant physical entry based on authorization,Develop feature in system to authorize and grant physical access for users
Control access to restricted areas,Develop feature in system to authorize and grant physical access for users
Restrict unauthorized entry to secured zones,Develop feature in system to authorize and grant physical access for users
Manage remote access control in containers,Implement mechanism to control remote access in containers
Prevent unauthorized remote access to container systems,Implement mechanism to control remote access in containers
Secure containerized environments from remote threats,Implement mechanism to control remote access in containers
Authorize and monitor remote sessions,Employ mechanism to authorize and control remote access and remote sessions
Restrict remote access to authorized users only,Employ mechanism to authorize and control remote access and remote sessions
Implement multi-factor authentication for remote sessions,Employ mechanism to authorize and control remote access and remote sessions
